	CH2500	CH2502	CH2522	F1659
PA14_07030	55	72	154	102
PA14_07040,yqjC	183	222	262	219
PA14_07050	19	38	17	104
PA14_07060	30	40	57	62
PA14_07070	110	162	134	132
PA14_07090,metK	215	315	426	376
PA14_07110	235	300	398	309
PA14_07130,tktA	632	601	1042	781
PA14_07140	125	74	200	95
PA14_07150,hyi	24	60	55	111
PA14_07170,epd	179	192	336	221
PA14_07190,pgk	257	263	480	308
PA14_07200	56	34	73	90
PA14_07210	135	135	180	193
PA14_07230,fda	448	484	640	613
PA14_07240	15	23	44	33
PA14_07250	19	34	24	111
PA14_07260	45	120	92	149
PA14_07280,yhiN	59	49	145	96
PA14_07290,ygjP	90	87	113	87
PA14_07300	107	149	147	1
PA14_07310	48	74	123	69
PA14_07330	26	150	128	90
PA14_07340	42	60	104	73
PA14_07355	12	49	38	60
PA14_07360	31	55	67	53
PA14_07370	10	12	8	61
PA14_07380	33	66	110	66
PA14_07400	43	76	103	72
PA14_07410	37	43	76	67
PA14_07420	47	72	107	64
PA14_07430	40	69	43	449
PA14_07440	15	14	3	20
PA14_07450	216	252	1	33
PA14_07460	7	21	39	28
PA14_07470	1	3	6	26
PA14_07480	1043	4	5	609
PA14_07500	52	195	46	481
PA14_07520,rpoD	925	875	1335	980
PA14_07530,dnaG	379	417	598	525
PA14_07550	59	38	99	60
PA14_07560,rpsU	70	58	113	56
PA14_07570,gcp	76	58	117	68
PA14_07580	18	58	34	54
PA14_07590,folB	23	21	31	22
PA14_07600,folk	25	18	33	14
PA14_07620,cca	79	182	179	162
PA14_07630	18	62	16	56
PA14_07650,ycgB	158	818	270	794
PA14_07660	161	751	302	768
PA14_07680,prkA	462	1493	833	1581
PA14_07690,glpE	45	64	66	76
PA14_07700,apaH	145	222	260	221
PA14_07710,apaG	58	86	94	73
PA14_07730,ksgA	123	135	226	180
PA14_07740,pdxA	74	71	129	132
PA14_07760,surA	486	520	676	597
PA14_07770,ostA	1457	1522	1333	1094
PA14_07780	117	138	204	162
PA14_07790	42	62	84	91
PA14_07800,djlA	64	85	112	116
PA14_07810	106	140	156	140
PA14_07820	154	216	277	245
PA14_07840,uhpA	77	114	144	83
PA14_07850	366	232	170	169
PA14_07860	97	103	59	250
PA14_07870	76	118	60	181
PA14_07890	39	70	37	179
PA14_07900	15	15	11	77
PA14_07910,rpe	59	70	221	124
PA14_07930,gph	111	133	234	167
PA14_07940,trpE	301	401	606	389
PA14_07950,prtN	77	45	85	131
PA14_07960,prtR	286	226	291	183
PA14_07970	30	21	53	71
PA14_07980	31	24	49	74
PA14_07990,hol	47	49	155	137
PA14_08000	28	0	103	77
PA14_08010,gpV	45	1	180	185
PA14_08020,gpW	17	0	90	105
PA14_08030	42	0	187	187
PA14_08040,gpI	40	0	137	170
PA14_08050	247	1	398	440
PA14_08060	99	0	12	17
PA14_08070,gpFI	126	0	485	522
PA14_08090,gpFII	42	1	178	189
PA14_08100	23	2	91	104
PA14_08110	14	1	36	47
PA14_08120	149	1	366	542
PA14_08130,gpU	29	0	88	127
PA14_08140,XR2	10	0	16	64
PA14_08150,gpD	56	4	189	315
PA14_08160,lys	16	21	51	58
PA14_08180	5	10	15	13
PA14_08190	3	11	4	12
PA14_08200	33	46	0	2
PA14_08210	45	57	1	1
PA14_08220	50	55	1	1
PA14_08230	20	23	1	0
PA14_08240	116	150	0	4
PA14_08250	17	25	0	0
PA14_08260	27	26	0	0
PA14_08270	67	62	0	0
PA14_08280	48	48	0	1
PA14_08300,JF1	254	177	0	3
PA14_08310	283	2	1	0
PA14_08320	107	1	1	1
PA14_08330	49	0	0	0
PA14_08340,trpG	177	189	297	199
PA14_08350,trpD	408	491	569	492
PA14_08360,trpC	116	178	213	145
PA14_08370,vfr	323	350	356	346
PA14_08380	57	86	103	102
PA14_08390,speD	311	174	348	244
PA14_08400	159	233	342	199
PA14_08420	14	70	41	61
PA14_08430	220	315	270	232
PA14_08440	68	127	111	145
PA14_08450	250	369	440	317
PA14_08460	158	256	259	260
PA14_08470	100	109	155	112
PA14_08480,argC	134	162	239	144
PA14_08490	247	175	236	202
PA14_08500	220	169	219	201
PA14_08510,yadR	79	63	93	61
PA14_08520,anmK	118	133	169	187
PA14_08540	454	521	736	571
PA14_08560,tyrZ	501	450	678	573
PA14_08570,16S-rRNA	229	409	361	641
PA14_08580	56	51	54	47
PA14_08590	38	23	42	30
PA14_08600,23S-rRNA	639	1148	986	1489
PA14_08610,5S-rRNA	5	7	3	5
PA14_08620,birA	124	170	231	231
PA14_08630	125	131	185	160
PA14_08640	131	159	208	181
PA14_08650	47	51	70	53
PA14_08660	36	38	64	44
PA14_08670	36	23	61	29
PA14_08680,tufB	954	846	1028	802
PA14_08690	40	36	50	33
PA14_08695,secE	286	261	336	264
PA14_08710,nusG	339	322	414	368
PA14_08720,rplK	360	309	396	338
PA14_08730,rplA	504	362	579	419
PA14_08740,rplJ	443	378	485	407
PA14_08750,rplL	270	247	312	249
PA14_08760,rpoB	2051	1722	2319	2047
PA14_08780,rpoC	2114	2136	2791	2008
PA14_08790,rpsL	338	307	360	321
PA14_08810,rpsG	372	312	429	333
PA14_08820,fusA1	1784	1579	1952	1685
PA14_08830,tufA	927	911	1053	930
PA14_08840,rpsJ	256	236	304	252
PA14_08850,rplC	533	461	588	496
PA14_08860,rplD	500	453	556	489
PA14_08870,rplW	231	203	268	219
PA14_08880,rplB	502	390	587	458
PA14_08890,rpsS	257	228	265	249
PA14_08900,rplV	294	263	310	296
PA14_08910,rpsC	507	431	573	518
PA14_08920,rplP	337	306	367	326
PA14_08930,rpmC	123	99	146	129
PA14_08940,rpsQ	204	156	215	187
PA14_08950,rplN	278	237	325	263
PA14_08960,rplX	260	251	288	262
PA14_08970,rplE	422	404	493	391
PA14_08980,rpsN	136	87	157	103
PA14_08990,rpsH	298	247	350	274
PA14_09000,rplF	406	328	491	369
PA14_09010,rplR	292	244	333	285
PA14_09020,rpsE	411	345	452	374
PA14_09030,rpmD	133	113	147	125
PA14_09040,rplO	334	252	372	288
PA14_09050,secY	1014	818	1134	938
PA14_09070,rpmJ	96	88	103	92
PA14_09080,rpsM	286	259	321	264
PA14_09090,rpsK	278	202	312	250
PA14_09100,rpsD	446	386	515	433
PA14_09115,rpoA	820	759	897	792
PA14_09130,rplQ	122	104	166	130
PA14_09150,katA	543	978	875	943
PA14_09160,bfrA	168	218	337	278
PA14_09180,uvrA	496	554	896	693
PA14_09195,yajR	168	178	311	186
PA14_09200,ssb	218	272	316	250
PA14_09210,pchA	4	352	131	67
PA14_09220,pchB	4	89	38	10
PA14_09230,pchC	4	257	81	41
PA14_09240,pchD	9	566	130	98
PA14_09260,pchR	17	103	36	59
PA14_09270,pchE	17	937	306	88
PA14_09280,pchF	17	1227	457	125
PA14_09290,pchG	2	207	51	27
PA14_09300,pchH	7	415	118	45
PA14_09320,pchI	11	440	190	48
PA14_09340,fptA	28	981	463	157
PA14_09350,fptB	2	46	30	10
PA14_09370	2	156	90	29
PA14_09380	2	265	99	56
PA14_09400,phzS	27	51	71	82
PA14_09410,phzG1	6	18	12	31
PA14_09420,phzF1	9	15	15	43
PA14_09440,phzE1	15	33	16	113
PA14_09450,phzD1	3	11	4	21
PA14_09460,phzC1	9	15	6	62
PA14_09470,phzB1	14	17	4	101
PA14_09480,phzA1	6	15	5	46
PA14_09490,phzM	15	19	12	63
PA14_09500,opmD	35	44	149	57
PA14_09520,mexI	95	108	274	210
PA14_09530,mexH	59	67	126	95
PA14_09540,mexG	8	16	44	25
PA14_09550	71	87	87	213
PA14_09570	21	36	35	26
PA14_09580	81	117	139	80
PA14_09600,ddlA	89	155	183	106
PA14_09610	200	264	347	256
PA14_09630	397	512	545	641
PA14_09660	464	576	659	653
PA14_09680	173	185	430	265
PA14_09690	45	54	113	92
PA14_09700,pqsL	26	51	64	206
PA14_09710,aldH	31	28	28	107
PA14_09730,dapA	17	16	21	65
PA14_09740,yaaU	10	10	5	89
PA14_09750	72	66	85	167
PA14_09760	76	86	172	135
PA14_09770	84	92	89	76
PA14_09780	25	39	28	32
PA14_09790	80	101	107	92
PA14_09810	36	44	50	48
PA14_09820	252	482	477	516
PA14_09850,opdN	11	22	29	81
PA14_09870	16	17	34	80
PA14_09880	0	0	4	16
PA14_09890,ppiC2	75	114	166	124
PA14_09900,prpL	31	36	57	297
PA14_09910,lysR	26	49	51	56
PA14_09920	5	9	2	34
PA14_09930	10	6	2	71
PA14_09940,pfpI	29	13	11	147
PA14_09950	14	17	32	33
PA14_09960	7	16	25	30
PA14_09970,fpvB	17	48	35	194
PA14_09980,dkgB	8	19	22	69
PA14_09990	22	44	51	48
PA14_10010	23	36	64	67
PA14_10020	16	26	31	28
